學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,日間/進修,學制班別,當學年度總量內核定新生招生名額(A),當學年度新生保留入學資格人數(B),當學年度總量內新生招生核定名額之實際註冊人數(C),當學年度各學系境外(新生)學生實際註冊人數 (E),當學年度新生註冊率(%)D=〔(C+E)/(A-B+E)〕＊100％,當學年度系所招生特色說明,當學年度招生特色說明資訊網
110,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,日間,學士班(含四技),51,0,51,0,100.00,1.本系旨在培養具人文素養之專業俄語及其他斯拉夫語文人才，著重學生獨立思考及表達能力，鼓勵學生多元發展，並推動國際學術交流。2.擁有優質斯拉夫語文專業師資，由本國籍及外國籍教師共同授課。3.提供多元學習環境，鼓勵學生熱心各項社會服務工作。4.可修習斯拉夫語文學程。,https://slavic.nccu.edu.tw/PageDoc/Detail?fid=6706&id=5496
110,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,日間,學士班(含四技),37,0,37,2,100.00,1. 因應全球化社會的快速變遷及本國與東南亞地區日益緊密的文經交流，本學位學程期望培育學生具備參與國際、全球場域所必備的「跨語言、跨文化、跨領域」多元知識，並能成為具備國際視野、國際競爭力、對異我文化的認知及服務精神的年輕世代。 2. 課程規劃以學習東南亞語言為核心（主修越南語，另須修讀一門第二東南亞語言），並延伸至相關的語言文化研究，帶領學生深入理解東南亞文化與文明的脈絡及現代社會的發展。進階課程結合政大的文、法、商、外交、傳播等領域，學生得以修習跨學科的課程藉以建立各領域所需的學術能力，成為具備學術素養及實務經驗之跨領域菁英。 3. 本學位學程也積極推動學術合作交流活動，與本校東南亞研究中心、美國北伊利諾大學東南亞研究中心、越南河內國家大學所屬外語大學等單位辦理學術演講、國際課程，並於暑假由本學程教師帶隊赴越南進行短期沉浸式課程。,https://www.nccu.edu.tw/zh_tw/academics
110,公立,一般大學,0001,國立政治大學,02322008,中國文學系,日間,學士班(含四技),78,0,75,4,96.34,本系以培養學術研究學者、中等學校國文教師、文學創作者、華語文教學師資等，文化薪傳人才為宗旨。重視考據、義理、辭章之學術傳統，也重視現代學術發展。大學部課程以基礎宏觀之學科為必修，專精科目為群修，其他衍伸學習之論題為選修，融通古今，規模完整，具有全方位學科架構。在多元並進、專業發展的要求下，本系培養學生廣泛學習興趣且深化學術涵養，除強調中文專業知識外，也重視與校內其他系所及海內外相關研究機構的合作，透過科際整合與跨領域學習以深化學術能量。本系擁有眾所欽羨的優良傳統，卓越師資、堅實課程，自由學風、和諧環境，具有學術優勢地位。,https://chinese.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,03111024,經濟學系,日間,學士班(含四技),82,0,74,3,90.59,本系的發展目標是兼顧經濟的理論與生活應用，以培育優秀的經濟專業人才，因應學生畢業後深造或就業之所需。在課程架構上，無論是經濟基礎課程或應用分析課程，皆以此目標作規劃。為提高國際競爭力，規劃一系列英語模組課程，及國外交換學生計畫。並為鼓勵學士班優秀學生繼續就讀碩士班，訂定「五年一貫修讀學、碩士學位鼓勵辦法」。目前本系大學部課程是以基本經濟概念的介紹，配合案例的分析，以達到通材教育、實用又不失嚴謹為目的。碩士班課程則朝向理論建構與實證分析兩者並重來規劃，除理論基礎課程外，並開設多門經濟應用課程，以培養學生獨立思考及應用分析的能力。博士班則以研究創造能力之培養為主，著重於經濟理論的研析。,https://econo.nccu.edu.tw/PageFront
110,公立,一般大學,0001,國立政治大學,03121026,政治學系,日間,學士班(含四技),45,0,45,2,100.00,1.在政治哲學領域，是全國相關系所師資最齊全者，主要從事理論建構的工作，特別是在政治思想方法論和國際政治理論兩方面。2.在計量政治學的發展，長期與本校選舉研究中心合作，在教學與研究實作上提供最豐富的學習資源。3.在區域與前瞻性議題的發展上，近年更結合本校中國大陸研究中心資源，在兩岸與東亞政治的比較研究上，以及在環境、性別、宗教等前沿議題方面，已經發展出不錯的能量。,https://politics.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,03122045,外交學系,日間,學士班(含四技),52,0,52,2,100.00,外交系為培育外交與國際事務專業人才的國內外知名系所。十餘位專任教師傳授國際關係、國際談判與國際公私法等專業知識；並著重促進英語、第二外語與區域研究的結合；同時強化跨文化溝通與國際貿易營銷的新知，以構建擁有國關、區研與國際經貿整合識能的全球化人才，即最具國際觀、國際競爭力與國際移動力的國際事務專才。在教學時，不僅著重紮實的理論功夫，更規劃了相關的實務課程，幫助學生將理論與實務做最適切與最具創意的結合。自民國89年起參與美國馬里蘭大學主導之「國際模擬通訊談判」計畫，實際模擬各國代表就國際安全、人權等議題進行線上談判。除以個人申請、繁星計畫、指考分發方式招收本國學生外，本系每年也甄選來自世界各地，包含美國、德國、匈牙利、宏都拉斯、韓國、日本等外籍學生，尚有數名僑生、港澳生及政府派赴國外工作人員子女名額，再加上每學期數十名來自世界各地的交換學生，透過課程討論與生活文化交流，營造全球化的學習環境。,https://diplomacy.nccu.edu.tw
110,公立,一般大學,0001,國立政治大學,03131032,心理學系,日間,學士班(含四技),41,0,37,4,91.11,設立宗旨：培育具有心理學專業素養、心理實務工作能力、理性批判思考能力、具國際觀及健全人格發展的人才。 五大目標：一、心理學專業知能的奠基訓練；二、心理學理論與實務應用並重的訓練；三、多元化與國際化的學習與研究；四、與校內研究中心及其他系所進行跨領域的研究與教學；五、與醫療單位合作之教學與研究。 課程分「實驗與發展心理學」、「社會與人格心理學」、「工業與組織心理學」、「諮商與臨床心理學」四大領域，大學部教學以基礎奠定與學門探索為主。 每年考試分發名額：18名。繁星推薦錄取名額：8名。個人申請錄取名額：15名。離島外加名額：2名。外國學生：1名。僑生：4名。,https://psy.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,03141030,社會學系,日間,學士班(含四技),44,0,44,0,100.00,本系學士班之教學目標為培育具社會學專業基礎素養、理性批判思考能力、人文社會關懷以及健全人格發展的學生。據此，本系透過課程及教學內容的設計，培養學生收集分析及組織資料、網路資訊及電腦使用、中英文閱讀寫作，以及領導與團隊合作等能力。這些能力之培養不僅符合本系之教育目標，也是當今與未來職場所需之重要基礎技能。,https://sociology.nccu.edu.tw/PageDoc/Detail?fid=585&id=886
110,公立,一般大學,0001,國立政治大學,03143043,地政學系,日間,學士班(含四技),127,0,124,3,97.69,地政系為結合人文社會與理工科技之學系，如有視覺障礙或辨色能力異常、聽覺障礙、肢體障礙、語言障礙及腦性麻痺者，宜慎重考慮。本系分為三組：土地資源規劃組較著重於土地資源之規劃與利用，且特別注重規劃實務的訓練，以培育公私部門具有國土規劃、區域計畫、都市規劃與不動產開發規劃之專業人才。土地管理組較著重於土地政策與法制、不動產投資與經營、土地測量、土地估價與土地金融等土地管理之教學，以培育公民營機構之土地行政、不動產投資與經營、估價與不動產開發等專業人才。土地測量與資訊組較著重於遙感探測、全球定位系統、地理資訊系統等測量理論與技術，以及測量資訊科學與土地管理及規劃結合之教學，並注重實務訓練，期能培育公民營機構具有土地測量與土地資訊之人才。本系網頁https://landeconomics.nccu.edu.tw/PageFront ，連絡電話29393091分機50642。,https://landeconomics.nccu.edu.tw/PageFront
110,公立,一般大學,0001,國立政治大學,03211056,傳播學院大一大二不分系,日間,學士班(含四技),173,0,167,16,96.83,為鼓勵多元學習，增加競爭力，採大一大二不分系招生與修課。大三依篩選結果分流至專業主修，進入新聞系、廣告系、廣播與電視學系，以完成學位。三系各有兩個專業學程，另有自主學程，讓學生可依個人未來生涯發展，自主規劃自己的學習計畫。學生畢業前須修畢校、院共同必修、專業主修或自主實驗學程。學生畢業時之學位證書標註之「學系」為其專業主修之學系或學位學程。相較於國內其他傳播院系所，本院歷史悠久，具有先發優勢。數位匯流趨勢之下，跨領域成為主流，學生更需要多元專長。因此，本院課程設計重視打破系所界限，創造跨領域的課程結構。不以培養特定單一行業之人才為目標；而是積極的鼓勵並促成學生對多元生涯之想像。特色如下：1.培養學生應用知識／解決問題的能力，培育能思考、會行動的傳播人才。2.鼓勵學生根據個人興趣和專長進行修業規劃，培養有能力穿梭於多元傳播行業的人才。,http://www.nccu.edu.tw/zh_tw/academics
110,公立,一般大學,0001,國立政治大學,04111059,會計學系,日間,學士班(含四技),89,0,89,4,100.00,本系以提供卓越的研究、教學及服務以促進會計及相關知識之提昇，並在變遷的環境中為企業、政府及非營利機構教育未來之會計領袖人才為宗旨，分別於1969年及1991年首創台灣第一個會計研究所碩士班與博士班，更是台灣唯一同時獲得AACSB會計與EQUIS兩項認證的系所。2003年本系碩士班首創稅務組，為台灣唯一會計與稅務並重之會計研究所。博士班課程著重財會、管會及審計等領域之理論探討，培養博士生具備解決問題及研究能力。  本系自109學年開始，依據AACSB最新國際認證標準，進行一系列重大教育改革，透過會計專業模組化課程的設計，讓學生學習未來在IT環境下會計人應具備之會計及資訊科技相關專業知識。此外，本系亦積極與國外頂尖大學簽訂雙聯學位，增進學生國際視野與競爭力。因此，本系在教學及課程上持續追求創新與國際化，位居全國領先地位。,https://acct.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,日間,學士班(含四技),44,0,43,2,97.83,本系採小班教學，課程設計多元且具連貫性。課程方面規劃：證券投資、公司理財、投資銀行、財務會計、證券市場與金融創新等相關課程，讓學生依照個人性向及未來職場需求修習各類課程，提高學習效率及品質。大學部一到三年級之課程著重財務理論、觀念及模型之說明及實證，使其了解並使用財務分析工具；四年級之課程則加強財務金融知識之應用及實務經驗之傳授，個案討論以外國的實例為主，我國之案例為輔。本系課程採取互動交談之溝通方式，加強討論交流，鼓勵學生提出啟發性之創新意見。另外，本系為台灣第一位CFA Program Partner。本系於2010年接受CFA機構審核課程品質及完整度後，躍升與康乃爾大學、紐約大學、北京大學及新加坡國立大學等頂尖院校齊名列為CFA官方正式合作夥伴。,https://finance.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,04121068,金融學系,日間,學士班(含四技),52,0,51,3,98.18,金融學系以培育金融專業人才為宗旨，課程內容理論與實務並重。學士班除一般基本課程之外，專業與應用課程包括金融機構管理、金融法規、永續金融、投資銀行策略與實務、期貨、衍生性商品、財務賽局、大數據分析與金融科技、金融計算程式運用、金融創新與退休金投資等等。我國正積極推動金融國際化，本系未來將加強國際金融有關課程，並進一步推動與金融機構之交流與合作，培育國際金融與金融機構管理人才。,https://banking.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,04122070,財政學系,日間,學士班(含四技),84,0,83,1,98.82,政治大學財政學系是我國首屈一指之財稅相關科系，本系以培育國家財稅領域中流砥柱為宗旨及目標，擁有優秀師資及完善課程以培養專門財稅菁英人才。本系規劃一年級修習經濟學、初級會計學及民法概要等基礎課程，二年級學習個體經濟學、總體經濟學、財政學及統計學，三、四年級再延伸到租稅理論及法規。本系二年級開始實施教學分組，學生可依其發展目標選擇稅務組、公共經濟組或財政管理組，接受不同的專業課程的訓練。 本系注重學生全方面發展，邀請系友及專家舉辦講座與同學互動交流，並鼓勵學生多參與課外活動。本系學生課外活動表現優異，如文化盃合唱比賽、系球隊及宿營等，常有優秀表現。期許進入財政學系就讀之同學們都能成為全方位發展之財稅菁英。,https://pf.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,日間,學士班(含四技),48,0,48,2,100.00,本系以培育風險管理經理人、保險經理人、精算師與政府及學術單位人才為目標，同時重視學生國際視野之拓展，以提升未來之國際競爭能力。 本系主要特色可歸納如下：1.具有國際一流風險管理與保險領域之頂尖師資與教學研究環境。2.課程設計重視產業人才需求以強化理論與實務結合為目標。3.開設企業實務講座課程提升學生就業市場競爭力。4.協助政府制訂保險金融法規與監理政策。5.積極從事社會保險制度改革與金融保險相關議題之研究。6.定期舉辦國際學術交流活動與國內外學術界密切合作。,http://www.nccu.edu.tw/zh_tw/academics
110,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,日間,學士班(含四技),85,0,83,16,98.02,本系為全國第一個成立的企管系，目標為培養企業最需之實作與管理人才，擁有豐厚的教學經驗，培育台灣許多優質企業家及專業經理人。課程教學方式引進哈佛個案教學法，培養學生獨立思考、分析及決策的能力；除堅強的師資、完善的教學設備外，規劃系列活動，如企業參訪、CEO論壇、高階經理人座談、系友座談、實務研討等強化實務接軌，提升學生即戰力。,http://ba.nccu.edu.tw
110,公立,一般大學,0001,國立政治大學,04131091,創新國際學院學士班,日間,學士班(含四技),15,0,13,9,91.67,創新國際學院學士班，為台灣第一個以全球研究前瞻策略為中心的學院，學習與教學皆為中英雙語環境，並提供問題解決導向與跨領域整合型訓練，課程設計秉持「全球發展與治理」、「跨領域學習」、「資訊處理能力」的核心理念，整合社會科學、法律研究、商業分析、資訊與資料科學等領域進行規劃，循序漸進培育了解亞太地區文化思維、商業模式與國際政經情勢之全方位跨領域人才。,https://www.ici.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,日間,學士班(含四技),43,0,42,3,97.83,本系旨在培育具備公共事務專業知能之政府及第三部門實務管理，及智庫政策分析與學術研究人才，課程設計包含行政組織與管理、公共政策與分析、第三部門、數位與資料治理、政府人事財政及創新管理等領域。,https://pa.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,日間,學士班(含四技),76,0,75,8,98.81,1.多元的課程：課程以國際經貿與國際企業為主，兼顧國際經貿關係與政策、企業之國際行銷與國際財務管理。2.頂尖的師資：歐美頂尖學府畢業的專業師資，專長涵蓋國際經濟貿易、國際經貿法律與實務、國際行銷、國際財務管理、國際企業管理等。3.訓練方式靈活：理論與實務配合，除基礎商學、國際經貿理論與國際企業理論外，輔以貿易電腦軟體教學、校外參訪與企業實習。4.圖儀設備完善：除校內資源外，系辦陳列有中英文金融、貿易、經濟等刊物。社資中心設有典藏豐富的國際貿易資料室。5.國際交流頻繁：與奧地利茵斯布魯克大學社會與經濟學院舉辦多次國際學術及歐洲政經研習活動。定期與日、韓等亞洲知名大學舉辦GPAC研討會。積極推動與美國UCLA、史丹福大學進行學術交流計劃。6.畢業系友傑出：本系為培育國家政經、財務金融、企業行銷人才的最佳搖籃。畢業系友成立之系友會協辦多項大型活動，並提供豐富之獎助學金鼓勵在學學生。,https://ib.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,04211073,法律學系,日間,學士班(含四技),155,0,154,2,99.36,政治大學法律系早年原本於入學時分為三組，包括法學、法制及財經法，嗣於九十六學年度起為擴展學生博雅學識累積及給予學生探索興趣所在的機會，改實施大一大二不分組學制，同學到大二時，須於三院相對必修學程中之法學學程、法制學程及財經法學程選擇其一。其中「法學學程」以培養法學研究及司法實務從業人員為目標；「財經法學程」以培養財經法專業人才為目標；「法制學程」則以培養行政立法等人才為目標，惟各學程學生仍得跨學程學習各學程之特色課程，增強自我對法學知識之廣度與深度，期許學生經過四年法學教育能成為全人格且具專業素養的法律人。法律系目前透過個人申請、繁星計畫及考試分發三種入學管道，期望招收具有國際視野、獨立之思考、邏輯思辨能力及對法律充滿興趣與熱忱的學生，以培育法學知識與實務結合專業的人才。,http://www.law.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,05411078,應用數學系,日間,學士班(含四技),43,0,43,0,100.00,本系之發展目標不但重視學生基礎數學之研習，並配合本校商學院、社會科學學院、教育學院等各相關科系，更進一步強化數學在財務金融、精算保險、運籌管理、資訊科學及師資培育等領域之應用，以培育國家社會所需要的人才。為達成上述目標，本系積極推動與其他單位的合作：和師資培育中心合作開設了「教育學程」，培育中等學校數學科教師；與商學院共同規劃設立了「數理財務學分學程」、「巨量資料分析學程」，提供同學們邁向財務、金融領域發展的絕佳機會；與本院資科系共同規劃設立「數理資訊學程」，培育軟體資訊人才；亦與本院應物所共同規劃設立「電子物理學分學程」，培育應用物理人才。學生於修畢本系專業課程後，已奠定多元發展之良好基礎，並可依其志趣與生涯規劃，充分利用學校現有的各項資源，朝財務金融、精算保險、運籌管理、資訊科學及中等教育等方向發展，實為本系吸引學生競相報考、就讀之優勢。,https://math.nccu.edu.tw/PageFront
110,公立,一般大學,0001,國立政治大學,05421079,統計學系,日間,學士班(含四技),49,0,48,3,98.08,1.本系大學部的教育目標在培養兼具統計專業與商業應用知識之全方位人才。2.本系重視統計教育之基礎理論訓練，各門專業課程強調實際問題的應用。身處資訊爆炸的巨量資料時代，我們也重視學生對於統計軟體與程式語言的嫻熟度。3.本系選課富彈性且自由，鼓勵學生建立跨領域第二專長。近年來開辦「數理財務」與「巨量資料分析」學分學程，增進學生財務金融以及資訊管理等跨領域能力。,https://www.nccu.edu.tw/zh_tw/academics
110,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,日間,學士班(含四技),81,0,82,2,100.00,1.為台灣率先成立的資訊管理學系，具備悠久歷史，是國內最完善的資訊管理人才養成場所之一。2.本系之教育目標在於培養資訊科技與管理專業兼備之數位時代菁英。3.本系設有清寒學生助學金、出國交換獎助、參加校內外競賽獎勵與企業實習機會。4.低收入戶同學若學業表現優異，本系將補助大學四年學雜費。5. 教學資源與設備豐富，包含4間電腦實驗室、15間專案實驗室、近130台電腦以及其他軟硬體設施。,http://www.nccu.edu.tw/zh_tw/academics
110,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,日間,學士班(含四技),43,0,52,8,100.00,政大資科系提供符合國際標準的系統化核心課程，包括人工智慧，機器學習，資料科學，人機介面，安全和隱私，通訊，多媒體等。此外，本系在以人文法商、社會、傳播，教育等領域最著名的政治大學，提供了系上學生可依自己的興趣進行跨學科研究的充分機會。在政治大學，雙學士並非夢想，而是一個可達到的目標。政大宗旨是強化學生國際移動能力，與許多國際知名大學簽屬雙聯學位或短期進修交換生。本系1993成立大學部、1996碩士班、2006後增設在職專班及博士班。2009與傳播學院共同創立數位內容學碩士學程。2014年因應國際化趨勢與中研院、清華大學共同設立社群網路與人智計算國際博士學位學程。2021年本校成立資訊學院及人工智慧應用學士學位學程。本系同時進行資訊科技及跨領域資訊應用發展並累積了豐厚能量，於傳播、法律、公共行政、經濟等方面應用皆有具體成果，相信在不久將來因應學院新設，課程與研究的選擇性與機會將會大幅擴增。,http://www.cs.nccu.edu.tw/
110,公立,一般大學,0002,國立清華大學,01111112,竹師教育學院學士班,日間,學士班(含四技),48,0,48,4,100.00,跨領域能力之培養已是當前高等教育重要趨勢，本班以培育跨領域教育與學習科學研究人才為己任。本班為培育學生具有跨領域學習能力，於大二前可依志向選擇本班或任選本院各系的核心課程做為第一專長，第二專長則可自由選擇本校任一科系提供之第二專長學程，以128學分畢業並完成雙專長的修習，並使學生具備跨領域能力與多元學習的機會；學生也可依據自己的志趣，任選本院各系分流，沒有名額限制，提供延後分流的機會。在修畢規定之學分數與相關畢業規定後，可獲「教育學學士」，並於證書加註第一專長及第二專長。本班招收對跨領域教育與研究有高度熱忱，且具有創意與勇於面對挑戰的學生。本院學士班之教育目標以培養跨領域教育及學習科學研究人才為主。培養學生具有學習科學探究分析、批判性思考、團隊合作、問題解決、書寫傳達、口語傳達及整合學習之能力，成為可順應社會需求自主學習之人才。,http://ipedu.site.nthu.edu.tw/
110,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,日間,學士班(含四技),39,0,38,3,97.62,本系成立於民國82年，以培育學前與國小階段特殊教育教師及行政人員為目標。目前開設資賦優異、智能障礙、學習障礙、聽語障礙、融合教育、學前特教、自閉症與情緒障礙、多重障礙、身體病弱與肢體障礙等領域，學生可依興趣、性向分組，畢業後有多元的升學與就業管道。本系共有專任教師12位，均具美國、歐洲及國內博士學位，專業涵蓋特殊教育、職能治療、語言治療、心理學、生命科學等領域，為學生提供整合性的特殊教育專業訓練。本系學生畢業及實習後，可參加教師甄試，成為國小特殊班教師或普通教師，亦可擔任學前特殊班教師或相關特教工作人員。如希望繼續深造，可報考特殊教育研究所、教育研究所、輔導研究所、心理研究所、復健諮商研究所及語言矯治研究所等。,http://www.dse.nthu.edu.tw/
